"id","data","target"
28,"[[522, 205, 59.46437454223633], [236, 202, 8.860122680664062], [236, 202, 8.860122680664062], [236, 202, 8.860122680664062], [236, 202, 8.860122680664062], [236, 202, 8.860122680664062], [236, 202, 8.860122680664062], [239, 139, 8.544103622436523], [239, 139, 8.544103622436523], [239, 139, 8.544103622436523]]",25
29,"[[253, 99, 43.48860168457031], [232, 186, 8.732224464416504], [232, 186, 8.732224464416504], [232, 186, 8.732224464416504], [232, 186, 8.732224464416504], [232, 140, 8.544103622436523], [232, 140, 8.544103622436523], [232, 140, 8.544103622436523], [232, 140, 8.544103622436523], [232, 140, 8.544103622436523]]",23
30,"[[151, 349, 120.82331848144531], [240, 210, 7.905794143676758], [240, 210, 7.905794143676758], [240, 210, 7.905794143676758], [240, 210, 7.905794143676758], [240, 210, 7.905794143676758], [242, 188, 9.486932754516602], [242, 188, 9.486932754516602], [242, 188, 9.486932754516602], [242, 188, 9.486932754516602]]",54
31,"[[513, 396, 77.90068054199219], [241, 201, 9.013978004455566], [241, 201, 9.013978004455566], [241, 201, 9.013978004455566], [241, 201, 9.013978004455566], [241, 201, 9.013978004455566], [241, 201, 9.013978004455566], [241, 201, 9.013978004455566], [241, 201, 9.013978004455566], [241, 201, 9.013978004455566]]",69
32,"[[329, 350, 50.29443359375], [276, 203, 8.276573181152344], [276, 203, 8.276573181152344], [276, 203, 8.276573181152344], [276, 203, 8.276573181152344], [276, 203, 8.276573181152344], [276, 203, 8.276573181152344], [276, 203, 8.276573181152344], [276, 203, 8.276573181152344], [276, 203, 8.276573181152344]]",88
33,"[[472, 299, 32.6841926574707], [272, 211, 8.381627082824707], [272, 211, 8.381627082824707], [272, 211, 8.381627082824707], [272, 211, 8.381627082824707], [272, 211, 8.381627082824707], [274, 191, 8.544103622436523], [274, 191, 8.544103622436523], [274, 191, 8.544103622436523], [277, 172, 8.276573181152344]]",77
34,"[[418, 240, 43.80934524536133], [261, 203, 8.860122680664062], [261, 203, 8.860122680664062], [261, 203, 8.860122680664062], [261, 203, 8.860122680664062], [261, 203, 8.860122680664062], [262, 183, 8.860122680664062], [262, 183, 8.860122680664062], [262, 183, 8.860122680664062], [265, 165, 8.544103622436523]]",58
35,"[[370, 281, 47.79482650756836], [291, 211, 9.486932754516602], [291, 211, 9.486932754516602], [291, 211, 9.486932754516602], [291, 211, 9.486932754516602], [291, 211, 9.486932754516602], [291, 211, 9.486932754516602], [291, 211, 9.486932754516602], [300, 138, 8.544103622436523], [300, 138, 8.544103622436523]]",54
36,"[[516, 120, 53.60047149658203], [283, 210, 9.34087085723877], [283, 210, 9.34087085723877], [283, 210, 9.34087085723877], [283, 210, 9.34087085723877], [284, 186, 9.355278015136719], [284, 186, 9.355278015136719], [285, 163, 9.013978004455566], [285, 163, 9.013978004455566], [285, 163, 9.013978004455566]]",36
37,"[[279, 217, 9.34087085723877], [279, 217, 9.34087085723877], [279, 217, 9.34087085723877], [279, 217, 9.34087085723877], [279, 217, 9.34087085723877], [279, 217, 9.34087085723877], [279, 217, 9.34087085723877], [279, 217, 9.34087085723877], [282, 169, 9.486932754516602], [282, 169, 9.486932754516602]]",66
