"id","data","target"
43,"[[274, 231, 9.013978004455566], [274, 231, 9.013978004455566], [279, 184, 9.013978004455566], [279, 184, 9.013978004455566], [279, 184, 9.013978004455566], [282, 163, 8.544103622436523], [282, 163, 8.544103622436523], [284, 142, 8.732224464416504], [284, 142, 8.732224464416504], [284, 142, 8.732224464416504]]",70
44,"[[270, 235, 8.732224464416504], [270, 235, 8.732224464416504], [273, 188, 8.732224464416504], [273, 188, 8.732224464416504], [275, 165, 9.013978004455566], [275, 165, 9.013978004455566], [275, 165, 9.013978004455566], [275, 165, 9.013978004455566], [277, 144, 9.192488670349121], [280, 125, 9.394247055053711]]",47
45,"[[260, 237, 7.905794143676758], [260, 237, 7.905794143676758], [260, 237, 7.905794143676758], [261, 215, 9.823541641235352], [261, 215, 9.823541641235352], [263, 192, 9.823541641235352], [263, 192, 9.823541641235352], [263, 192, 9.823541641235352], [263, 192, 9.823541641235352], [263, 192, 9.823541641235352]]",25
46,"[[256, 217, 9.013978004455566], [256, 217, 9.013978004455566], [256, 217, 9.013978004455566], [257, 196, 9.34087085723877], [257, 196, 9.34087085723877], [257, 196, 9.34087085723877], [259, 175, 9.013978004455566], [259, 175, 9.013978004455566], [259, 175, 9.013978004455566], [261, 156, 9.013978004455566]]",70
47,"[[249, 235, 9.394247055053711], [249, 235, 9.394247055053711], [255, 212, 9.65670394897461], [255, 212, 9.65670394897461], [255, 212, 9.65670394897461], [255, 212, 9.65670394897461], [261, 189, 9.192488670349121], [268, 168, 8.944372177124023], [268, 168, 8.944372177124023], [268, 168, 8.944372177124023]]",45
48,"[[234, 219, 10.12432861328125], [234, 219, 10.12432861328125], [234, 219, 10.12432861328125], [237, 193, 9.486932754516602], [237, 193, 9.486932754516602], [237, 193, 9.486932754516602], [241, 168, 9.192488670349121], [241, 168, 9.192488670349121], [245, 144, 9.192488670349121], [245, 144, 9.192488670349121]]",25
49,"[[233, 229, 8.732224464416504], [233, 229, 8.732224464416504], [236, 206, 9.486932754516602], [236, 206, 9.486932754516602], [236, 206, 9.486932754516602], [236, 206, 9.486932754516602], [236, 206, 9.486932754516602], [242, 162, 8.732224464416504], [242, 162, 8.732224464416504], [242, 162, 8.732224464416504]]",70
50,"[[236, 228, 9.192488670349121], [236, 228, 9.192488670349121], [241, 205, 8.276573181152344], [241, 205, 8.276573181152344], [241, 205, 8.276573181152344], [241, 205, 8.276573181152344], [241, 205, 8.276573181152344], [241, 205, 8.276573181152344], [250, 165, 7.826338291168213], [250, 165, 7.826338291168213]]",100
51,"[[237, 236, 9.013978004455566], [237, 236, 9.013978004455566], [237, 236, 9.013978004455566], [237, 236, 9.013978004455566], [237, 236, 9.013978004455566], [237, 236, 9.013978004455566], [242, 187, 8.732224464416504], [242, 187, 8.732224464416504], [244, 164, 8.732224464416504], [244, 164, 8.732224464416504]]",47
52,"[[227, 223, 8.544103622436523], [227, 223, 8.544103622436523], [227, 223, 8.544103622436523], [230, 198, 8.544103622436523], [230, 198, 8.544103622436523], [230, 198, 8.544103622436523], [233, 176, 8.276573181152344], [233, 176, 8.276573181152344], [233, 176, 8.276573181152344], [233, 176, 8.276573181152344]]",55
53,"[[230, 230, 9.013978004455566], [230, 230, 9.013978004455566], [230, 230, 9.013978004455566], [230, 230, 9.013978004455566], [233, 206, 8.732224464416504], [233, 206, 8.732224464416504], [233, 206, 8.732224464416504], [233, 206, 8.732224464416504], [233, 206, 8.732224464416504], [239, 164, 7.905794143676758]]",89
55,"[[283, 238, 9.34087085723877], [283, 238, 9.34087085723877], [288, 189, 9.486932754516602], [288, 189, 9.486932754516602], [288, 189, 9.486932754516602], [288, 189, 9.486932754516602], [288, 189, 9.486932754516602], [295, 145, 9.394247055053711], [295, 145, 9.394247055053711], [299, 126, 9.013978004455566]]",30
